1;CONTROL AMBIENTAL
2;ESPECIALIZACION EN SUPERVISION DE BPM
3;GESTION DE LA PRODUCCION INDUSTRIAL
4;GESTION DE RECURSOS EN PLANTAS DE PRODUCCION
5;GESTION DE SEGURIDAD Y SALUD EN EL TRABAJO
6;GESTION INTEGRADA DE LA CALIDAD, MEDIO AMBIENTE, SEGURIDAD Y SALUD OCUPACIONAL
7;PROCESOS DE LA INDUSTRIA QUIMICA
8;QUIMICA APLICADA A LA INDUSTRIA
9;SALUD OCUPACIONAL
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
